index,artist_all,artist_base,rank,song,year,artist_featured
0,percy faith,percy faith,1,theme from a summer place,1960,
1,jim reeves,jim reeves,2,he'll have to go,1960,
2,the everly brothers,the everly brothers,3,cathy's clown,1960,
3,johnny preston,johnny preston,4,running bear,1960,
4,mark dinning,mark dinning,5,teen angel,1960,
5,brenda lee,brenda lee,6,i'm sorry,1960,
6,elvis presley,elvis presley,7,it's now or never,1960,
7,jimmy jones,jimmy jones,8,handy man,1960,
8,elvis presley,elvis presley,9,stuck on you,1960,
9,chubby checker,chubby checker,10,the twist,1960,
10,connie francis,connie francis,11,everybody's somebody's fool,1960,
11,bobby rydell,bobby rydell,12,wild one,1960,
12,the brothers four,the brothers four,13,greenfields,1960,
13,jack scott,jack scott,14,what in the world's come over you,1960,
14,marty robbins,marty robbins,15,el paso,1960,
15,the hollywood argyles,the hollywood argyles,16,alley oop,1960,
16,connie francis,connie francis,17,my heart has a mind of its own,1960,
17,brenda lee,brenda lee,18,sweet nothin's,1960,
18,brian hyland,brian hyland,19,itsy bitsy teenie weenie yellow polka dot bikini,1960,
19,roy orbison,roy orbison,20,only the lonely,1960,
20,dion and the belmonts,dion and the belmonts,21,where or when,1960,
21,connie stevens,connie stevens,22,sixteen reasons,1960,
22,paul anka,paul anka,23,puppy love,1960,
23,frankie avalon,frankie avalon,24,why,1960,
24,the ventures,the ventures,25,"walk, don't run",1960,
25,the drifters,the drifters,26,save the last dance for me,1960,
26,dinah washington  &  brook benton,dinah washington,27,baby (you've got what it takes),1960,
27,johnny horton,johnny horton,28,sink the bismarck,1960,
28,sam cooke,sam cooke,29,chain gang,1960,
29,the everly brothers,the everly brothers,30,let it be me,1960,
30,jimmy jones,jimmy jones,31,good timin',1960,
31,bobby darin,bobby darin,32,beyond the sea,1960,
32,jimmy clanton,jimmy clanton,33,go jimmy go,1960,
33,jackie wilson,jackie wilson,34,night,1960,
34,jack scott,jack scott,35,burning bridges,1960,
35,toni fisher,toni fisher,36,the big hurt,1960,
36,duane eddy,duane eddy,37,because they're young,1960,
37,conway twitty,conway twitty,38,lonely blue boy,1960,
38,steve lawrence,steve lawrence,39,pretty blue eyes,1960,
39,freddy cannon,freddy cannon,40,way down yonder in new orleans,1960,
40,anita bryant,anita bryant,41,paper roses,1960,
41,larry verne,larry verne,42,mr. custer,1960,
42,brenda lee,brenda lee,43,i want to be wanted,1960,
43,the fendermen,the fendermen,44,mule skinner blues,1960,
44,johnny preston,johnny preston,45,cradle of love,1960,
