acousticness,billboard_artist,billboard_df_index,billboard_name,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.631,percy faith,0.0,theme from a summer place,0.466,144893.0,0.389,0.0,2kKL5kk4On8YRSKWDgXWMX,0.843,5.0,0.295,-12.825,1.0,49.0,1953,0.0253,Percy Faith'S Greatest Hits,Percy Faith & His Orchestra,"The Theme From ""A Summer Place"" - Single Version",92.631,4.0,audio_features,spotify:track:2kKL5kk4On8YRSKWDgXWMX,0.749
0.909,jim reeves,1.0,hell have to go,0.554,138640.0,0.186,0.0,7DH5dXVuQaqcKf9oTy9oUN,0.00144,1.0,0.11,-15.846,1.0,53.0,1997-02-14,0.0379,The Essential Jim Reeves,Jim Reeves,He'll Have to Go,81.181,3.0,audio_features,spotify:track:7DH5dXVuQaqcKf9oTy9oUN,0.2
0.412,the everly brothers,2.0,cathys clown,0.498,144013.0,0.582,0.0,1MA9StLzlFftLbuqOmoWij,0.0,7.0,0.372,-8.961,1.0,50.0,1962-06-01,0.0339,The Golden Hits Of The Everly Brothers,The Everly Brothers,Cathy's Clown,119.809,4.0,audio_features,spotify:track:1MA9StLzlFftLbuqOmoWij,0.866
0.854,johnny preston,3.0,running bear,0.772,158200.0,0.297,0.0,1RYznli2VNO7FCbW1Hq4KM,7.59e-06,5.0,0.125,-14.679,0.0,40.0,2013-09-01,0.053,Greatest Hits,Johnny Preston,Running Bear,119.987,4.0,audio_features,spotify:track:1RYznli2VNO7FCbW1Hq4KM,0.822
0.936,mark dinning,4.0,teen angel,0.57,159893.0,0.0636,0.0,36NPEs4S7ik50NrlzaqoIJ,0.0,0.0,0.122,-18.548,1.0,18.0,2005,0.0459,Pop Megahits Of The 1950's Vol. 1,Mark Dinning,Teen Angel,101.517,4.0,audio_features,spotify:track:36NPEs4S7ik50NrlzaqoIJ,0.282
0.928,brenda lee,5.0,im sorry,0.529,160173.0,0.115,0.0,3Wkx5w26BqVASMkeGFTsEt,0.00333,10.0,0.121,-16.284,1.0,48.0,1991-01-01,0.0302,Anthology 1956-1980 (Volume 1 & 2),Brenda Lee,I'm Sorry - Single Version,101.501,3.0,audio_features,spotify:track:3Wkx5w26BqVASMkeGFTsEt,0.339
0.642,elvis presley,6.0,its now or never,0.643,194600.0,0.491,0.0,1XunTmhOcj3xwh4b8P3isX,0.00972,4.0,0.286,-9.312,1.0,58.0,2002,0.0344,Elvis 30 #1 Hits,Elvis Presley,It's Now or Never,126.399,4.0,audio_features,spotify:track:1XunTmhOcj3xwh4b8P3isX,0.753
0.408,jimmy jones,7.0,handy man,0.458,125160.0,0.659,0.0,4ii8N3ei1tgVnNjtF3IUQY,0.0,10.0,0.247,-8.97,1.0,28.0,2016-07-22,0.0497,A Shot Of Rhythm And Blues: Hits & Rarities,Jimmy Jones,Handy Man,144.758,4.0,audio_features,spotify:track:4ii8N3ei1tgVnNjtF3IUQY,0.87
0.758,elvis presley,8.0,stuck on you,0.647,139640.0,0.513,0.0,39zODpVtRvghMyfNjZ3BVK,8.64e-06,7.0,0.108,-12.372,1.0,59.0,1963-08-11,0.0421,"Elvis' Golden Records, Vol. 3",Elvis Presley,Stuck on You,131.641,4.0,audio_features,spotify:track:39zODpVtRvghMyfNjZ3BVK,0.955
0.199,chubby checker,9.0,the twist,0.526,153760.0,0.633,0.0,3ohLnESFgYACPMCkoTOzqE,1.24e-06,4.0,0.0709,-7.119,1.0,52.0,2005-01-01,0.0322,Cameo Parkway - The Best Of Chubby Checker (Original Hit Recordings) [International Version],Chubby Checker,The Twist,156.405,4.0,audio_features,spotify:track:3ohLnESFgYACPMCkoTOzqE,0.953
0.826,connie francis,10.0,everybodys somebodys fool,0.589,160000.0,0.643,0.0,3o3tJQNE3og07wS93sZrOP,3.62e-05,1.0,0.237,-8.118,1.0,37.0,1997-01-01,0.0304,At Her Best,Connie Francis,Everybody's Somebody's Fool,84.308,4.0,audio_features,spotify:track:3o3tJQNE3og07wS93sZrOP,0.781
0.709,bobby rydell,11.0,wild one,0.599,141093.0,0.775,0.0,6OJZM84zgpRxRYtBk979xG,0.0,7.0,0.0804,-4.566,1.0,24.0,2005-10-18,0.0466,Cameo Parkway - The Best Of Bobby Rydell (Original Hit Recordings),Bobby Rydell,Wild One,148.507,4.0,audio_features,spotify:track:6OJZM84zgpRxRYtBk979xG,0.89
0.852,the brothers four,12.0,greenfields,0.485,183360.0,0.182,0.0,7F3R0rKXq5eYgPug8vqOdu,0.0,11.0,0.112,-18.083,0.0,41.0,1960,0.0434,Greatest Hits,The Brothers Four,Greenfields,110.608,1.0,audio_features,spotify:track:7F3R0rKXq5eYgPug8vqOdu,0.357
0.802,jack scott,13.0,what in the worlds come over you,0.506,173267.0,0.176,0.0,3XToK0X499i9odkrDCG4FL,3.93e-06,4.0,0.0978,-13.962,1.0,31.0,2011-06-24,0.0303,Capitol Collectors Series,Jack Scott,What In The World's Come Over You,76.273,4.0,audio_features,spotify:track:3XToK0X499i9odkrDCG4FL,0.492
0.835,marty robbins,14.0,el paso,0.654,259307.0,0.452,0.0,4f8hBeMXMvssn6HtFAtblo,2.89e-05,2.0,0.16,-9.709,1.0,58.0,1959,0.03,Gunfighter Ballads And Trail Songs,Marty Robbins,El Paso,106.662,3.0,audio_features,spotify:track:4f8hBeMXMvssn6HtFAtblo,0.691
